ID,Genero,Edad,Sitio,Tiempos
1,varon,24,Ninguno,0
2,mujer,26,Facebook,20
3,varon,54,Facebook,2
4,mujer,42,Facebook,7
5,varon,54,Ninguno,
6,mujer,21,Facebook,3
7,mujer,,Ninguno,
8,varon,63,Ninguno,0
9,mujer,25,Ninguno,
10,mujer,21,Facebook,14
11,mujer,18,Facebook,15
12,mujer,18,Instagram,6
13,varon,19,Other,1
14,mujer,,Instagram,200
15,mujer,52,Ninguno,0
16,mujer,28,Instagram,3
17,varon,21,Facebook,10
18,varon,18,Ninguno,
19,mujer,24,Other,7
20,mujer,6,LinkedIn,
21,mujer,26,Facebook,1
22,varon,28,Facebook,7
23,mujer,39,Facebook,15
24,varon,55,Ninguno,
25,mujer,26,Facebook,10
26,mujer,44,Ninguno,0
27,mujer,29,Facebook,10
28,varon,28,Ninguno,
29,varon,45,Other,5
30,varon,17,Facebook,704
31,mujer,23,Facebook,15
32,mujer,46,Ninguno,0
33,mujer,22,Instagram,40
34,varon,12,Instagram,12
35,mujer,15,Facebook,1
36,varon,55,Ninguno,
37,varon,22,Facebook,4
38,varon,,Ninguno,0
39,varon,39,Instagram,1
40,mujer,37,Instagram,
41,mujer,28,Facebook,25
42,mujer,23,Facebook,10
43,mujer,25,Other,
44,varon,43,Other,2
45,varon,31,Facebook,5
46,varon,70,Facebook,40
47,mujer,41,Instagram,7
48,varon,64,Facebook,1
49,varon,30,Facebook,15
50,varon,41,Facebook,12
51,varon,25,Ninguno,0
52,mujer,17,Instagram,20
53,mujer,28,Instagram,100
54,varon,18,Facebook,25
55,varon,58,Ninguno,
56,varon,33,Facebook,7
57,mujer,15,Other,
58,mujer,20,Ninguno,0
59,mujer,23,Facebook,12
60,varon,45,Ninguno,0
61,mujer,21,Facebook,10
62,,,Facebook,6
63,varon,57,Facebook,3
64,varon,24,Facebook,12
65,varon,55,Facebook,1
66,varon,,Facebook,7
67,mujer,20,Facebook,40
68,varon,63,Facebook,3
69,varon,18,Facebook,7
70,varon,45,Facebook,15
71,varon,38,Ninguno,0
72,mujer,39,Ninguno,
73,mujer,39,Ninguno,0
74,mujer,18,Ninguno,
75,mujer,22,Facebook,21
76,mujer,56,Facebook,25
77,mujer,27,Facebook,5
78,mujer,24,Facebook,2
79,mujer,20,Facebook,21
80,mujer,21,Facebook,4
81,varon,17,Facebook,
82,mujer,27,Facebook,10
83,mujer,,Ninguno,
84,mujer,48,Ninguno,0
85,varon,30,Facebook,3
86,mujer,36,Ninguno,0
87,mujer,,Facebook,55
88,mujer,19,Instagram,7
89,varon,21,Ninguno,
90,varon,45,Ninguno,
91,varon,,Facebook,1
92,varon,45,Ninguno,0
93,varon,14,Instagram,3
94,varon,30,Facebook,1
95,mujer,54,Instagram,1
96,varon,25,Facebook,10
97,varon,33,Facebook,15
98,varon,,Ninguno,1
99,varon,29,Ninguno,
100,varon,26,Facebook,1
101,mujer,30,Facebook,3
102,mujer,33,Twitter,100
103,varon,46,Ninguno,1
104,varon,22,Facebook,2
105,mujer,47,Ninguno,0
106,mujer,36,Facebook,20
107,varon,37,Ninguno,0
108,mujer,22,Facebook,20
109,varon,18,Facebook,7
110,mujer,50,Ninguno,0
111,varon,32,Other,1
112,varon,47,Ninguno,
113,varon,24,Ninguno,0
114,mujer,33,Instagram,8
115,mujer,31,Ninguno,0
116,varon,18,Facebook,6
117,varon,34,Facebook,5
118,varon,19,Ninguno,0
119,mujer,24,Facebook,5
120,varon,,Ninguno,0
121,varon,26,Ninguno,0
122,mujer,27,Other,4
123,mujer,46,Ninguno,
124,mujer,49,Facebook,1
125,mujer,20,Facebook,7
126,varon,57,Ninguno,0
127,mujer,21,Facebook,8
128,varon,30,Facebook,10
129,varon,22,Facebook,4
130,mujer,39,Facebook,3
131,mujer,23,Instagram,2
132,mujer,19,Facebook,7
133,mujer,28,Ninguno,
134,mujer,37,Ninguno,
135,varon,47,Instagram,4
136,mujer,26,Instagram,5
137,varon,17,Facebook,14
138,mujer,23,Instagram,2
139,mujer,32,Facebook,7
140,varon,20,Facebook,7
141,mujer,50,Ninguno,
142,mujer,18,Facebook,25
143,varon,,Ninguno,0
144,varon,44,Facebook,2
145,varon,34,Facebook,30
146,varon,44,Ninguno,3
147,varon,20,Ninguno,0
148,varon,40,Facebook,3
149,varon,19,Facebook,4
150,mujer,42,Ninguno,40
151,mujer,39,Facebook,10
152,varon,16,Twitter,42
153,varon,29,Facebook,5
154,varon,40,Twitter,12
155,varon,18,Facebook,35
156,mujer,19,Ninguno,0
157,varon,39,Ninguno,0
158,varon,18,Facebook,21
159,mujer,15,Ninguno,0
160,varon,43,Facebook,5
161,varon,50,Ninguno,
162,varon,,Ninguno,0
163,mujer,28,Ninguno,
164,mujer,20,Instagram,2
165,mujer,21,Instagram,10
166,mujer,21,Facebook,3
167,varon,45,Ninguno,0
168,mujer,19,Facebook,2
169,varon,19,Facebook,100
170,varon,25,Facebook,25
171,varon,38,Facebook,1
172,varon,28,Ninguno,
173,mujer,21,Ninguno,0
174,mujer,20,Facebook,10
175,varon,30,Ninguno,0
176,varon,50,Ninguno,0
177,varon,48,Ninguno,2
178,varon,32,Ninguno,0
179,mujer,59,Other,1
180,mujer,17,Instagram,3
181,varon,27,Ninguno,
182,mujer,27,Ninguno,3
183,mujer,18,Facebook,30
184,mujer,29,Facebook,7
185,mujer,45,Ninguno,0
186,varon,39,Ninguno,0
187,varon,40,Ninguno,0
188,varon,38,Other,7
189,mujer,24,Instagram,2
190,mujer,31,Facebook,7
191,varon,51,LinkedIn,2
192,varon,43,Ninguno,
193,varon,39,Facebook,2
194,mujer,27,Ninguno,
195,mujer,19,Facebook,35
196,varon,48,LinkedIn,25
197,varon,26,Other,10
198,mujer,22,Facebook,5
199,varon,39,Ninguno,
200,varon,22,Ninguno,5
201,mujer,28,Facebook,3
202,mujer,17,Facebook,8